TRIP_NO,route_index,mean_distance,median_distance,max_distance,inlier_ratio,num_routes
TRIP_430377,3,574.6896510838845,171.558384628243,2822.766452101509,0.3283582089552239,6
TRIP_430379,0,301.5322612541813,92.47482807376366,3420.575700033235,0.5789473684210527,6
TRIP_430444,0,186.1693822785469,95.59202262941102,1635.8607035682492,0.5405405405405406,6
TRIP_430450,5,197.79998114401587,65.52628923433176,1802.6264734370814,0.6527777777777778,6
TRIP_430495,0,249.5268764022987,56.290772484692326,3501.4722709438597,0.6984126984126984,6
TRIP_430514,0,1302.073632184312,201.47872487763118,5755.201354505219,0.38636363636363635,6
TRIP_430531,5,515.3061412449008,209.1915197719974,2169.789569312141,0.36585365853658536,6
TRIP_430537,3,208.32228704788403,91.69419603712768,1834.1721635456618,0.546875,6
TRIP_430624,5,487.5403989054146,118.84897589968708,3385.6179558710623,0.4727272727272727,6
TRIP_430664,0,180.6111144466256,118.2686474400877,1834.1721635456618,0.45588235294117646,6
TRIP_430680,0,389.0584344357024,190.3436678483942,1347.3395074514551,0.38095238095238093,6
TRIP_430724,0,360.8497556757121,93.09554325439277,3511.0101692097182,0.5757575757575758,6
TRIP_430810,2,210.59602773893053,106.08052378742255,2011.571022695631,0.5,6
TRIP_430859,0,283.3939528878787,141.77967902381792,2666.6127397999817,0.3333333333333333,6
TRIP_430950,2,259.80809543977864,92.90948642930073,1834.1721635456618,0.5079365079365079,6
TRIP_430955,3,1033.5078727055509,172.83880404984146,7136.20669653884,0.3877551020408163,6
TRIP_430973,5,1020.3753502143453,223.25011241218536,5148.515266969754,0.3076923076923077,6
TRIP_431002,4,328.39814041805687,128.96599734359813,1609.758612288287,0.4523809523809524,6
TRIP_431035,1,507.580623599387,95.64671295344448,3501.4722709438597,0.625,6
TRIP_431080,4,277.50687802942053,46.87225516515913,4127.623244641956,0.6224489795918368,6
TRIP_431105,0,251.11508751533967,119.62770464685609,2011.7781245219073,0.4626865671641791,6
TRIP_431150,0,147.08086211294696,47.22429666071247,1873.7065663864666,0.7733333333333333,6
TRIP_431221,2,1135.7175996223311,152.76230233397087,5140.452010908884,0.40816326530612246,6
TRIP_431259,5,271.6871497898172,63.77812709645599,3545.8656304873657,0.5609756097560976,6
TRIP_431277,0,162.7950323559626,30.914145089239263,1947.8722450865916,0.7068965517241379,6
TRIP_431296,1,430.79689597592994,169.13731819724237,2100.3315146640825,0.42105263157894735,6
TRIP_431343,4,558.5299498557214,157.93143149838133,3516.9349019451524,0.38596491228070173,6
TRIP_431374,0,763.1984067975544,366.6896795535261,2382.757894286209,0.34146341463414637,6
TRIP_431377,0,186.2935995639742,67.49769253036811,1839.7037702182333,0.6176470588235294,6
TRIP_431381,3,285.9767581150235,109.42535777139685,3434.474352935867,0.4918032786885246,6
TRIP_431422,0,300.9073095922319,134.90405962567982,3433.420833594776,0.4574468085106383,6
TRIP_431480,0,290.74525567102233,123.24286970652346,2327.6703984097194,0.4107142857142857,6
TRIP_431492,2,4759.823848339686,359.29133248661145,20898.645302148274,0.3088235294117647,6
TRIP_431513,3,704.0747332339422,523.421379270582,2666.6127397999817,0.23529411764705882,6
TRIP_431549,5,214.85141485975115,64.46762002029043,2115.3033517510985,0.6190476190476191,6
TRIP_431658,1,600.9369841263775,150.6490318848883,3400.380876905497,0.34210526315789475,6
TRIP_431669,1,284.08783644173167,126.60994446631689,3520.1591864367533,0.43283582089552236,6
TRIP_431720,1,404.55996321638247,100.63053301007044,3468.622253709411,0.49019607843137253,6
TRIP_431741,0,236.74081971232428,111.98718103605376,2666.6127397999817,0.4925373134328358,6
TRIP_431785,1,361.35924451240334,93.30342804632332,2170.220258337682,0.5303030303030303,6
TRIP_431786,1,255.86878538153388,106.8616773378569,2011.95645167009,0.4745762711864407,6
TRIP_431800,3,208.47382169833634,88.87638757598636,2366.4831590745735,0.5268817204301075,6
TRIP_431867,5,521.4869897560726,235.59100271801867,1918.3542754921746,0.375,6
TRIP_431937,1,4116.562135085751,531.6163050216014,25161.6728189376,0.3333333333333333,4
TRIP_431960,1,194.60576771838376,76.90363008758237,3140.2469724971897,0.6140350877192983,6
TRIP_432060,2,244.72750486157275,150.6009553771676,1803.6618615505245,0.4107142857142857,6
TRIP_432124,1,524.9622770277232,110.74050402901956,3372.3382013784676,0.4666666666666667,2
TRIP_432151,3,525.9652292946932,187.5010081936992,2466.455642739096,0.42105263157894735,6
TRIP_432229,1,893.1919690701169,108.1922926562415,5178.044856862696,0.4666666666666667,6
TRIP_432232,0,625.3430719752231,158.33623145059752,5728.385032052652,0.38095238095238093,6
TRIP_432340,2,1439.3533360494303,163.8913120631196,6052.557615998381,0.4583333333333333,6
TRIP_432381,2,172.55508141010446,41.643415410721495,1932.140192557706,0.6956521739130435,6
TRIP_432445,0,191.6591902559256,89.17293516118887,2110.9554000526045,0.5584415584415584,6
TRIP_432566,0,566.921340979513,180.7202400458258,2324.7136892339818,0.3541666666666667,6
TRIP_432603,1,174.5012274564301,106.53412100416554,1395.4565369162099,0.5,6
TRIP_432623,0,223.67799021955935,98.32047500257067,3730.5364332345944,0.5066666666666667,6
TRIP_432653,1,399.9484527306722,110.13668419794482,3932.1841253971165,0.4925373134328358,6
TRIP_432698,5,2335.585920021257,961.7523241837324,7600.218947006943,0.20588235294117646,6
TRIP_432741,1,927.0339379846029,135.08132380798895,5805.026468505427,0.4666666666666667,6
TRIP_432935,0,279.3709499210278,90.17912699836637,2205.3313737662425,0.5660377358490566,6
TRIP_432991,3,342.3682929903846,202.97085206330445,1734.897654832363,0.16981132075471697,6
TRIP_433150,1,506.53146357625934,177.6541017713441,4128.920761547901,0.3611111111111111,6
TRIP_433178,1,33306.210657229094,41317.757812396005,50430.83676063806,0.02631578947368421,6
TRIP_433237,4,779.5812852915744,121.87001188774344,4964.372639967342,0.38271604938271603,6
TRIP_433255,3,196.57968524569952,38.03554610187267,2134.4092820544215,0.6823529411764706,6
TRIP_433321,0,2092.879038060973,762.9038762120572,6161.126528305548,0.16176470588235295,6
TRIP_433359,0,555.2294794905378,390.40015909631535,2962.457367509834,0.23178807947019867,4
TRIP_433384,0,350.66310939474147,87.26929960530192,2933.520715671674,0.5641025641025641,6
TRIP_433457,0,216.90593001157222,21.118222992274575,4175.946523129137,0.7411764705882353,6
TRIP_433526,2,257.2556816640224,122.65660177429805,1736.05381757319,0.4857142857142857,6
TRIP_433532,2,1791.701423209602,173.54674472211127,15865.761783436748,0.1511627906976744,5
TRIP_433611,5,2037.6313889300302,257.0012022340234,10816.732612859325,0.30612244897959184,6
TRIP_433706,1,385.757593895675,316.03703967954624,2266.115296757084,0.1518987341772152,6
TRIP_433719,0,174.7892342658234,88.71050698433373,872.5799122472052,0.5294117647058824,6
TRIP_433752,2,4927.191387490223,426.6256005296733,17230.284772386127,0.32926829268292684,6
TRIP_433773,1,885.8015828339485,996.1848462958287,3434.474352935867,0.18604651162790697,3
TRIP_433803,0,329.041347764952,171.17954626971138,1873.7065663864666,0.3170731707317073,6
TRIP_433824,0,654.8877147491307,133.8943310855279,3482.037737870764,0.4166666666666667,5
TRIP_433830,5,187.49234346141836,77.6341936662602,1803.1040703039337,0.6702127659574468,6
TRIP_433838,1,507.14738295773657,203.87518818223197,2037.9815633903265,0.33962264150943394,6
TRIP_434079,5,407.18200561753645,151.2113461045005,2902.1677454456744,0.42424242424242425,6
TRIP_434097,3,603.8190146961741,235.01465671877034,2516.2462972695434,0.3,6
TRIP_434122,4,149.83446871188485,155.57801826670885,434.88022614976677,0.39285714285714285,6
TRIP_434132,4,169.5777018642937,90.33052984560737,1913.7306676556707,0.5616438356164384,6
TRIP_434245,5,83.09997456315764,17.875201869073408,511.8729020863738,0.7692307692307693,6
TRIP_434296,0,468.19742416014424,164.08332099766693,3468.622253709411,0.34375,6
TRIP_434533,0,2244.4779973412305,2623.717653121458,4080.225197574038,0.15151515151515152,6
TRIP_434586,4,488.1358718664598,148.9871272845325,3420.575700033235,0.4533333333333333,6
TRIP_434612,2,1240.619372905825,979.6707176614244,3173.299587566151,0.26732673267326734,6
TRIP_434730,0,487.65074477021824,54.895373272567106,3542.340478070557,0.65,6
TRIP_434812,4,456.3969598376905,97.5171361747308,2581.318165871148,0.5588235294117647,6
TRIP_434866,0,199.17841148568473,82.51308456713424,4175.716757156986,0.5757575757575758,6
TRIP_434874,3,1166.3143171725526,517.3261814285647,4883.130977214323,0.14814814814814814,6
TRIP_434959,3,381.74886874693084,149.97786199181394,2785.698450708787,0.36363636363636365,6
TRIP_434960,0,130.30066695666483,31.683011880637665,3420.575700033235,0.8051948051948052,6
TRIP_434992,2,886.2114626117901,94.3328723043961,4600.139392596667,0.5405405405405406,6
TRIP_435045,3,207.450805608091,134.08445682166945,1859.876516744354,0.42857142857142855,6
TRIP_435073,4,129.93452362417457,81.28456763751254,929.0004260387559,0.5531914893617021,6
TRIP_435077,5,587.271817324149,242.2246815353003,3385.6179558710623,0.2926829268292683,6
TRIP_435080,0,152.99796361476578,58.50897710559717,1806.1768854235331,0.5979381443298969,6
TRIP_435095,3,519.9494514910612,75.53706297743952,7112.034945224624,0.5816326530612245,6
TRIP_435233,0,234.02046494499086,63.47716577455836,1574.1878985063743,0.5645161290322581,6
TRIP_435236,1,429.2524991450956,108.48639707387817,2344.9676031194062,0.49411764705882355,6
TRIP_435344,2,178.53628995188222,94.82449338908876,1482.3257946863575,0.5714285714285714,6
TRIP_435403,0,58.96094073544904,25.692250006908104,343.14202974000193,0.7936507936507936,6
TRIP_435480,2,609.4031325857615,373.58873967813986,3571.2468542754946,0.358974358974359,6
TRIP_435523,0,199.6394359291678,65.80345878524545,2666.6127397999817,0.6144578313253012,6
TRIP_435569,1,477.95952858887995,91.81012585169411,2958.204636443714,0.5111111111111111,6
TRIP_435591,5,358.60530922088356,94.88816013292974,3511.0101692097182,0.5416666666666666,6
TRIP_435617,4,2470.0427907016156,823.5532712246775,12223.99524729648,0.25,6
TRIP_435711,0,277.035677976023,75.95180769134132,2216.7274361381274,0.5853658536585366,6
TRIP_435747,0,98.71181481623697,22.809917755865225,3448.2358336765965,0.8571428571428571,6
TRIP_435749,0,2174.6342932099915,280.95222874799447,9259.304624427561,0.24175824175824176,6
TRIP_435761,5,338.14090930798744,149.37271513535217,2716.273821822709,0.40384615384615385,6
TRIP_435771,0,264.8209968980154,69.23340303595322,3482.57990341332,0.5844155844155844,6
TRIP_435880,0,433.6756371802566,154.12243588040795,4847.905848776591,0.4634146341463415,6
TRIP_435894,2,479.68722178503066,234.70187013800822,2626.786619448761,0.30434782608695654,6
